Symbol
AAPL
MSFT
AMZN
NVDA
GOOGL
BRK.B
GOOG
TSLA
META
XOM
UNH
JNJ
JPM
V
PG
MA
CVX
HD
LLY
MRK
ABBV
AVGO
PEP
KO
TMO
PFE
COST
MCD
WMT
BAC
CRM
CSCO
ABT
DIS
LIN
ACN
ADBE
DHR
VZ
WFC
CMCSA
TXN
PM
NEE
NKE
RTX
BMY
ORCL
AMD
NFLX
UPS
T
QCOM
HON
AMGN
INTC
COP
LOW
INTU
UNP
SBUX
MS
BA
CAT
SPGI
PLD
IBM
GS
MDT
LMT
ELV
GE
DE
GILD
ISRG
BLK
BKNG
SYK
AXP
C
AMT
NOW
MDLZ
ADI
CVS
AMAT
TJX
ADP
TMUS
REGN
MMC
PYPL
CB
SCHW
VRTX
MO
ZTS
PGR
SO
CI
DUK
BSX
SLB
TGT
FISV
BDX
EOG
CME
NOC
AON
LRCX
MU
EQIX
ITW
ETN
APD
CSX
CL
HUM
WM
ATVI
ICE
FCX
EL
CDNS
MMM
HCA
CCI
SNPS
MPC
ORLY
SHW
PXD
EW
FDX
PNC
GIS
GD
USB
KLAC
AZO
CMG
SRE
EMR
MCK
DG
MSI
GM
PSX
F
AEP
VLO
DXCM
D
NSC
MCO
MRNA
ROP
KMB
MAR
TFC
APH
PSA
OXY
ADM
NXPI
CTVA
FTNT
MSCI
MCHP
AJG
EXC
ADSK
TRV
BIIB
PH
A
TEL
ECL
MET
TT
IDXX
JCI
HES
MNST
DOW
TDG
AIG
CTAS
HLT
ANET
LHX
O
XEL
YUM
NEM
PCAR
COF
SYY
HSY
AFL
CARR
IQV
NUE
STZ
CNC
SPG
WMB
ILMN
ROST
CHTR
WELL
DVN
MTD
PAYX
ED
KMI
OTIS
EA
AMP
CPRT
FIS
ON
CMI
BK
VICI
PPG
DD
RMD
PRU
PEG
DHI
AME
WBD
ROK
ODFL
KHC
DLTR
GEHC
CTSH
HAL
KR
ALL
FAST
BKR
ENPH
WEC
VRSK
GWW
KDP
OKE
APTV
ZBH
GPN
AWK
SBAC
CSGP
ANSS
DFS
RSG
EIX
LEN
ULTA
DLR
ES
TSCO
WST
PCG
ACGL
KEYS
ABC
FANG
STT
URI
HPQ
GLW
ALGN
WTW
TROW
WBA
IFF
AVB
CEG
LYB
IT
ALB
EFX
PWR
EBAY
GPC
FTV
WY
AEE
DAL
VMC
CBRE
PODD
IR
HIG
CDW
ETR
MLM
FE
BAX
MTB
DTE
CHD
FSLR
MKC
EQR
PPL
HOLX
MPWR
CAH
DOV
EXR
LH
CTRA
TDY
VRSN
CLX
ARE
TTWO
LVS
NDAQ
HPE
LUV
CNP
FITB
INVH
COO
OMC
XYL
RJF
STE
DRI
WAT
NTRS
WAB
RF
CMS
TSN
VTR
EXPD
CAG
NVR
STLD
SEDG
PFG
FICO
SWKS
MAA
K
CINF
TRGP
PKI
BR
HBAN
AMCR
EPAM
ATO
AES
BALL
DGX
IEX
SJM
FLT
MOH
FDS
HWM
TYL
MRO
IRM
LW
FMC
MOS
TER
UAL
ZBRA
GRMN
CFG
PAYC
JBHT
J
AVY
RE
BBY
CF
IPG
BG
TXT
CBOE
PHM
NTAP
EVRG
MGM
BRO
EXPE
LKQ
RCL
LNT
ESS
INCY
SYF
PTC
TECH
PKG
POOL
IP
AKAM
ETSY
WRB
SNA
UDR
APA
TFX
MKTX
LDOS
STX
EQT
VTRS
TRMB
SWK
HST
CPT
WYNN
KIM
PEAK
NDSN
DPZ
BWA
KEY
BF.B
NI
HRL
PARA
CHRW
MAS
HSIC
JKHY
L
WDC
KMX
CPB
CE
TAP
CDAY
TPR
FOXA
CRL
BIO
GEN
JNPR
EMN
GL
CCL
MTCH
LYV
QRVO
CZR
REG
ALLE
ROL
PNW
AAL
UHS
XRAY
AOS
PNR
HII
RHI
NRG
FFIV
BBWI
IVZ
WRK
CTLT
BEN
AAP
WHR
VFC
BXP
FRT
SEE
NWSA
HAS
GNRC
AIZ
CMA
OGN
DXC
NCLH
ALK
MHK
ZION
RL
NWL
DVA
FOX
LNC
FRC
NWS
DISH
