Date,LastPrice,PriceEarningsRatio,ReturnonCapital,Volatility30Day,CurrentMarketCap,RSI14Day,OverridableRawBeta,sector_CommunicationServices,sector_ConsumerDiscretion,sector_ConsumerStaple,sector_Energy,sector_Financial,sector_HealthCare,sector_IT,sector_Industrial,sector_Material,sector_RealEstate,sector_Utilities
20221230,0.48751725763545134,0.0028114170134142815,0.7046458998251297,0.06805696057979506,0.4011697241253382,0.47853943736304727,0.47063052945325057,0,0,0,0,0,1,0,0,0,0,0
20221229,0.4892548068828501,0.002827128288928589,0.7046458998251297,0.06768591984563296,0.4025955136297117,0.5022277741305511,0.47049658411369133,0,0,0,0,0,1,0,0,0,0,0
20221228,0.48370879213388557,0.0027769800897579577,0.7046458998251297,0.06551292897217523,0.39801158487957855,0.42783469347972103,0.4699474000623731,0,0,0,0,0,1,0,0,0,0,0
20221227,0.4871030743846179,0.0028076718837858733,0.7046458998251297,0.06434152315239318,0.4008010422654706,0.4719472211161577,0.47023545596841054,0,0,0,0,0,1,0,0,0,0,0
20221226,0.4871030743846179,0.0028205210277142344,0.7046458998251297,0.06434152315239318,0.4020706021796755,0.4719472211161577,0.47023545596841054,0,0,0,0,0,1,0,0,0,0,0
20221223,0.48852409334276187,0.0028205210277142344,0.7046458998251297,0.06405132904974155,0.4020706021796755,0.49083237815842307,0.4700348322666724,0,0,0,0,0,1,0,0,0,0,0
20221222,0.4880829713439068,0.002816532312418935,0.7046458998251297,0.06848279359639432,0.401709177897301,0.48547819639155443,0.4701740493092438,0,0,0,0,0,1,0,0,0,0,0
20221221,0.4889281745630872,0.0028241748127175686,0.7046458998251297,0.08217715158749933,0.40390344363282693,0.49558981019164694,0.47098568755008563,0,0,0,0,0,1,0,0,0,0,0
20221220,0.48202848772603296,0.0027617864337857903,0.7046458998251297,0.08188532548096975,0.3980901033361073,0.4135972185146468,0.47084454249352725,0,0,0,0,0,1,0,0,0,0,0
20221219,0.4823382833282824,0.002764587668954994,0.7046458998251297,0.08227719819958887,0.3982898645746784,0.4168353325477162,0.4709600096377137,0,0,0,0,0,1,0,0,0,0,0
20221216,0.4842509344378219,0.002781882251304078,0.7046458998251297,0.08379829810428135,0.39990195876905826,0.43608595936826466,0.4710926655005854,0,0,0,0,0,1,0,0,0,0,0
20221215,0.4918308246624237,0.0028504211683247874,0.7046458998251297,0.07886288068105837,0.40613349451942027,0.5187404087196488,0.47013041375306663,0,0,0,0,0,1,0,0,0,0,0
20221214,0.5020338754756374,0.0029426792396587604,0.7046458998251297,0.06989624014655742,0.4144958690060431,0.6585044281792168,0.46981769255539474,0,0,0,0,0,1,0,0,0,0,0
20221213,0.5012425497525003,0.0029355239106939085,0.7046458998251297,0.0782172737846008,0.41375459700178774,0.6515992416705466,0.47010980549875736,0,0,0,0,0,1,0,0,0,0,0
20221212,0.499744081893794,0.0029219744579732335,0.7046458998251297,0.07821761703136682,0.41252769189248134,0.6389655013249367,0.4701033257445284,0,0,0,0,0,1,0,0,0,0,0
20221209,0.4941374549617807,0.002871278191052105,0.7046458998251297,0.07657944529242833,0.40789080234350267,0.5894993539693116,0.4707887924372438,0,0,0,0,0,1,0,0,0,0,0
20221208,0.5011651008519379,0.0029348236019015937,0.7046915369101642,0.07676117685423658,0.41380474570411224,0.6910865167983636,0.46994262497196226,0,0,0,0,0,1,0,0,0,0,0
20221207,0.4963161262080345,0.002887178133084222,0.7056849644239573,0.07706311526982257,0.4098070576961687,0.6503637461753929,0.4698003596639666,0,0,0,0,0,1,0,0,0,0,0
20221206,0.49175674310536416,0.0028459831840227314,0.7056849644239573,0.07801885753518223,0.4060001827681684,0.6082587126248229,0.4698282946785728,0,0,0,0,0,1,0,0,0,0,0
20221205,0.49579082062161156,0.0028824318907994203,0.7056849644239573,0.07668607859756249,0.4093013835341624,0.6691684925378796,0.4698532336156199,0,0,0,0,0,1,0,0,0,0,0
20221202,0.5012021416304678,0.0029313200827262268,0.7056855927617811,0.07874615515005662,0.4138571043017955,0.7593174215247368,0.4705485754544062,0,0,0,0,0,1,0,0,0,0,0
20221201,0.49998316328248643,0.0029203063759791364,0.7056855927617811,0.08572202065873519,0.4127800262332497,0.750801382486964,0.4706946929769906,0,0,0,0,0,1,0,0,0,0,0
20221130,0.4986800013469374,0.002908532054125183,0.7056855927617811,0.08866519675643311,0.41168782620098504,0.7419628776546274,0.47155107803100826,0,0,0,0,0,1,0,0,0,0,0
20221129,0.48564838199144694,0.002790788835585758,0.7056855927617811,0.08537522619648158,0.4009152167332472,0.635656579365726,0.46903629109664735,0,0,0,0,0,1,0,0,0,0,0
20221128,0.4868875644004445,0.0028019850899585167,0.7056855927617811,0.08508831000817793,0.40194850709894214,0.6556626354332883,0.46902720007710486,0,0,0,0,0,1,0,0,0,0,0
20221125,0.4909149072296865,0.002838372916669904,0.7056822416267133,0.08690060268139002,0.40528694355492123,0.7223443393668904,0.4685143021443505,0,0,0,0,0,1,0,0,0,0,0
20221124,0.4909149072296865,0.002808343832251732,0.7056855927617811,0.08690060268139002,0.4025047579136339,0.7223443393668904,0.4685143021443505,0,0,0,0,0,1,0,0,0,0,0
20221123,0.487591339192511,0.002808343832251732,0.7056855927617811,0.08948653827729508,0.4025047579136339,0.6955809084917166,0.4662788742359266,0,0,0,0,0,1,0,0,0,0,0
20221122,0.48576287167053905,0.0027918232721310695,0.7056855927617811,0.09659419113535697,0.4009890328102216,0.6805427059548548,0.46623851865458843,0,0,0,0,0,1,0,0,0,0,0
