DATE,INDPRO
2019/12/1,101.884
2020/1/1,101.3768
2020/2/1,101.633
2020/3/1,97.6672
2020/4/1,84.5979
2020/5/1,85.9732
2020/6/1,91.5625
2020/7/1,95.0144
2020/8/1,95.8881
2020/9/1,95.8444
2020/10/1,96.4292
2020/11/1,96.8564
2020/12/1,97.9754
2021/1/1,98.7836
2021/2/1,95.3744
2021/3/1,98.1351
2021/4/1,98.2886
2021/5/1,99.1508
2021/6/1,99.5096
2021/7/1,100.1231
2021/8/1,100.1255
2021/9/1,99.0614
2021/10/1,100.3045
2021/11/1,101.1971
2021/12/1,100.886
